abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.08,69,2080,8 Barrel,American Strong Ale,226,16,226,Chatham Brewing,Chatham, NY
0.055,40,2079,Oktoberfest,Märzen / Oktoberfest,226,16,226,Chatham Brewing,Chatham, NY
0.057,58,2380,IPA #11,American IPA,121,16,121,Cheboygan Brewing Company,Cheboygan, MI
0.057,10,2379,Blood Orange Honey,Fruit / Vegetable Beer,121,16,121,Cheboygan Brewing Company,Cheboygan, MI
0.089,126,2440,Bay of Bengal Double IPA (2014),American Double / Imperial IPA,99,12,99,Christian Moerlein Brewing Company,Cincinnati, OH
0.049,29,567,Churchkey Pilsner Style Beer,American Pilsner,526,12,526,Churchkey Can Company,Seattle, WA
0.055,25,2349,Cubano Espresso,Bock,141,12,141,Cigar City Brewing Company,Tampa, FL
0.062,65,2014,Operation Homefront,American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.082,65,2013,Wandering Pelican,American Black Ale,141,12,141,Cigar City Brewing Company,Tampa, FL
0.07,60,1726,Hopped on the High Seas (Hop #529),American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.07,60,1725,Hopped on the High Seas (Calypso),American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.07,60,1694,Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.07,60,1693,Hopped on the High Seas (Citra),American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.07,60,1692,Hopped on the High Seas (Ahtanum),American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.075,70,1142,Humidor Series India Pale Ale,American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.075,70,1141,Jai Alai IPA Aged on White Oak,American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.08,65,1140,José Martí American Porter,American Porter,141,12,141,Cigar City Brewing Company,Tampa, FL
0.055,25,1138,Maduro Brown Ale,English Brown Ale,141,12,141,Cigar City Brewing Company,Tampa, FL
0.055,25,571,Maduro Brown Ale,American Brown Ale,141,12,141,Cigar City Brewing Company,Tampa, FL
0.072,75,569,Tocobaga Red Ale,American Amber / Red Ale,141,12,141,Cigar City Brewing Company,Tampa, FL
0.075,70,546,Jai Alai IPA,American IPA,141,12,141,Cigar City Brewing Company,Tampa, FL
0.05,18,545,Florida Cracker Belgian Wit,Witbier,141,12,141,Cigar City Brewing Company,Tampa, FL
0.067,60,1772,Jacaranada Rye IPA,American IPA,320,16,320,Claremont Craft Ales,Claremont, CA
0.06,75,1393,Cascadian Dark Ale,American Black Ale,418,12,418,Coalition Brewing Company,Portland, OR
0.044,13,893,Wheat the People,American Pale Wheat Ale,418,16,418,Coalition Brewing Company,Portland, OR
0.047,17,1407,Tybee Island Blonde,American Blonde Ale,415,12,415,Coastal Empire Beer Company,Savannah, GA
0.062,55,1406,Savannah Brown Ale,American Brown Ale,415,12,415,Coastal Empire Beer Company,Savannah, GA
0.046,11,2438,Rhode Island Blueberry,Kölsch,101,12,101,Coastal Extreme Brewing Company,Newport, RI
0.065,75,2437,Newport Storm IPA,American IPA,101,12,101,Coastal Extreme Brewing Company,Newport, RI
0.052,24,751,Hurricane Amber Ale (2004),American Amber / Red Ale,101,12,101,Coastal Extreme Brewing Company,Newport, RI
0.052,24,120,Hurricane Amber Ale,American Amber / Red Ale,101,12,101,Coastal Extreme Brewing Company,Newport, RI
0.068,75,970,Des Moines IPA,American IPA,482,16,482,Confluence Brewing Company,Des Moines, IA
0.048,22,969,Capital Gold Golden Lager,German Pilsener,482,16,482,Confluence Brewing Company,Des Moines, IA
0.056,21,968,Farmer John's Multi-Grain Ale,American Blonde Ale,482,16,482,Confluence Brewing Company,Des Moines, IA
0.075,29,659,Crabtree Oatmeal Stout,Oatmeal Stout,515,16,515,Crabtree Brewing Company,Greeley, CO
0.077,71,556,Eclipse Black IPA,American Black Ale,515,16,515,Crabtree Brewing Company,Greeley, CO
0.06,46,2538,Neomexicanus Native,American Pale Ale (APA),63,12,63,Crazy Mountain Brewing Company,Edwards, CO
0.075,25,2355,Old Soul,Belgian Strong Pale Ale,63,12,63,Crazy Mountain Brewing Company,Edwards, CO
0.052,15,685,Lava Lake Wit,Witbier,63,12,63,Crazy Mountain Brewing Company,Edwards, CO
0.052,25,356,Crazy Mountain Amber Ale,American Amber / Red Ale,63,12,63,Crazy Mountain Brewing Company,Edwards, CO
0.065,65,2029,Tropicalia,American IPA,247,12,247,Creature Comforts,Athens, GA
0.049,25,2293,Aviator Raspberry Blonde,American Blonde Ale,169,12,169,Crooked Fence Brewing Company,Garden City, ID
0.06,31,1057,South Ridge Amber Ale,American Amber / Red Ale,472,16,472,Crystal Springs Brewing Company,Boulder, CO
0.052,23,681,Summertime Ale,Kölsch,472,16,472,Crystal Springs Brewing Company,Boulder, CO
0.05,15,1809,The Tradition,American Blonde Ale,227,12,227,DC Brau Brewing Company,Washington, DC
0.053,11,1263,El Hefe Speaks,Hefeweizen,227,12,227,DC Brau Brewing Company,Washington, DC
0.092,115,851,On the Wings of Armageddon,American Double / Imperial IPA,227,12,227,DC Brau Brewing Company,Washington, DC
0.065,80,186,The Corruption,American IPA,227,12,227,DC Brau Brewing Company,Washington, DC
0.063,37,1746,Dead Armadillo Amber Ale,American Amber / Red Ale,330,12,330,Dead Armadillo Craft Brewing,Tulsa, OK
0.075,33,2251,Oak Cliff Coffee Ale,American Brown Ale,127,12,127,Deep Ellum Brewing Company,Dallas, TX
0.085,100,2166,Dream Crusher Double IPA,American Double / Imperial IPA,127,12,127,Deep Ellum Brewing Company,Dallas, TX
0.048,25,1202,Farmhouse Wit,Saison / Farmhouse Ale,127,16,127,Deep Ellum Brewing Company,Dallas, TX
0.052,23,946,Dallas Blonde,American Blonde Ale,127,12,127,Deep Ellum Brewing Company,Dallas, TX
0.07,70,943,Deep Ellum IPA,American IPA,127,12,127,Deep Ellum Brewing Company,Dallas, TX
0.045,44,1886,Thrasher Session India Pale Ale,American IPA,283,12,283,Defiance Brewing Company,Hays, KS
0.05,16,1885,Gutch English Style Mild Ale,English Pale Mild Ale,283,12,283,Defiance Brewing Company,Hays, KS
0.059,55,1213,Chuli Stout,Irish Dry Stout,453,12,453,Denali Brewing Company,Talkeetna, AK
0.056,46,1159,Mother Ale,American Blonde Ale,453,12,453,Denali Brewing Company,Talkeetna, AK
0.065,71,947,Twister Creek India Pale Ale,American IPA,453,12,453,Denali Brewing Company,Talkeetna, AK
0.058,46,929,Single Engine Red,Irish Red Ale,453,12,453,Denali Brewing Company,Talkeetna, AK
0.05,40,1210,Mirror Pond Pale Ale,American Pale Ale (APA),454,12,454,Deschutes Brewery,Bend, OR
0.052,16,2550,Weissenheimer,Hefeweizen,57,12,57,Destihl Brewery,Bloomington, IL
0.049,22,2505,Abbey's Single (2015- ),Abbey Single Ale,57,12,57,Destihl Brewery,Bloomington, IL
0.063,76,2025,Vertex IPA,American IPA,57,12,57,Destihl Brewery,Bloomington, IL
0.05,12,2021,Here Gose Nothin',Gose,57,12,57,Destihl Brewery,Bloomington, IL
0.096,85,1888,Hoperation Overload,American Double / Imperial IPA,57,12,57,Destihl Brewery,Bloomington, IL
0.049,22,1887,Abbey's Single Ale (Current),Abbey Single Ale,57,12,57,Destihl Brewery,Bloomington, IL
0.044,45,2051,Bravo Four Point,American Pale Ale (APA),237,12,237,Devil's Backbone Brewing Company,Lexington, VA
0.052,26,1201,Striped Bass Pale Ale,American Pale Ale (APA),237,12,237,Devil's Backbone Brewing Company,Lexington, VA
0.054,27,924,Deadicated Amber,American Amber / Red Ale,491,16,491,Devil's Canyon Brewery,Belmont, CA
0.071,85,730,California Sunshine Rye IPA,American IPA,491,16,491,Devil's Canyon Brewery,Belmont, CA
0.074,12,647,Full Boar Scotch Ale,Scotch Ale / Wee Heavy,491,16,491,Devil's Canyon Brewery,Belmont, CA
0.065,72,1795,Filthy Hoppin' IPA,American IPA,311,16,311,Dirty Bucket Brewing Company,Woodinville, WA
0.066,100,881,Hop Abomination,American IPA,496,12,496,Dry Dock Brewing Company,Aurora, CO
0.051,17,880,Apricot Blonde,Fruit / Vegetable Beer,496,12,496,Dry Dock Brewing Company,Aurora, CO
0.043,12,872,Dry Dock Hefeweizen,Hefeweizen,496,12,496,Dry Dock Brewing Company,Aurora, CO
0.058,49,871,Dry Dock Amber Ale,American Amber / Red Ale,496,12,496,Dry Dock Brewing Company,Aurora, CO
0.061,64,1685,Category 3 IPA,American IPA,340,12,340,Due South Brewing Company,Boynton Beach, FL
0.045,18,457,Dundee Summer Wheat Beer,American Pale Wheat Ale,538,12,538,Dundee Brewing Company,Rochester, NY
0.078,74,1382,Crank Yanker IPA,American IPA,369,16,369,Eddyline Brewery & Restaurant,Buena Vista, CO
0.078,74,395,Crank Yanker IPA (2011),American IPA,369,16,369,Eddyline Brewery & Restaurant,Buena Vista, CO
0.049,25,673,Dottie Seattle Lager,American Amber / Red Lager,516,16,516,Emerald City Beer Company,Seattle, WA
0.043,60,2292,Little Sister India Style Session Ale,American IPA,170,12,170,Everybody's Brewing,White Salmon, WA
0.062,80,1504,Country Boy IPA,American IPA,170,12,170,Everybody's Brewing,White Salmon, WA
0.049,23,2604,Blonde Czich,American Blonde Ale,26,16,26,Evil Czech Brewery,Mishawaka, IN
0.07,61,2432,White Reaper,Belgian IPA,26,16,26,Evil Czech Brewery,Mishawaka, IN
0.054,48,1967,General George Patton Pilsner,Czech Pilsener,26,16,26,Evil Czech Brewery,Mishawaka, IN
0.05,32,1722,Iron Horse Pale Ale,American Pale Ale (APA),335,12,335,Fargo Brewing Company,Fargo, ND
0.045,19,1435,Stone's Throw IPA,Scottish Ale,335,12,335,Fargo Brewing Company,Fargo, ND
0.067,70,1434,Wood Chipper India Pale Ale,American IPA,335,12,335,Fargo Brewing Company,Fargo, ND
0.063,55,2089,Trail Head,American Pale Ale (APA),224,12,224,Fat Head's Brewery,Middleburg Heights, OH
0.07,80,2088,Hop Stalker Fresh Hop IPA,American IPA,224,16,224,Fat Head's Brewery,Middleburg Heights, OH
0.07,58,1455,Sudice American Stout,American Stout,405,16,405,Fate Brewing Company,Boulder, CO
0.05,20,1454,Parcae Belgian Style Pale Ale,Belgian Pale Ale,405,16,405,Fate Brewing Company,Boulder, CO
0.05,20,1453,Norns Roggenbier,Roggenbier,405,16,405,Fate Brewing Company,Boulder, CO
0.05,20,1452,Laimas Kölsch Style Ale,Kölsch,405,16,405,Fate Brewing Company,Boulder, CO
0.07,70,1451,Moirai India Pale Ale,American IPA,405,16,405,Fate Brewing Company,Boulder, CO
0.075,53,2191,Loki Red Ale,American Amber / Red Ale,201,16,201,Fearless Brewing Company,Estacada, OR
0.075,53,895,Loki Red Ale (2013),American Amber / Red Ale,201,16,201,Fearless Brewing Company,Estacada, OR
0.082,80,1929,Second Fiddle,American Double / Imperial IPA,172,16,172,Fiddlehead Brewing Company,Shelburne, VT
0.055,30,1858,Hodad Porter,American Porter,172,16,172,Fiddlehead Brewing Company,Shelburne, VT
0.055,45,2590,Czech Yo Self,Czech Pilsener,36,12,36,Figueroa Mountain Brewing Company,Buellton, CA
0.048,20,1968,FMB 101,Kölsch,36,12,36,Figueroa Mountain Brewing Company,Buellton, CA
0.08,80,1664,Sobek & Set,American Black Ale,256,16,256,Finch's Beer Company,Chicago, IL
0.05,22,1662,Wet Hot American Wheat Ale,American Pale Wheat Ale,256,16,256,Finch's Beer Company,Chicago, IL
0.08,72,935,Fascist Pig Ale,American Amber / Red Ale,256,16,256,Finch's Beer Company,Chicago, IL
0.045,47,2569,Easy Jack,American IPA,48,12,48,Firestone Walker Brewing Company,Paso Robles, CA
0.075,75,2463,Union Jack,American IPA,48,12,48,Firestone Walker Brewing Company,Paso Robles, CA
0.047,20,1733,805,American Blonde Ale,48,12,48,Firestone Walker Brewing Company,Paso Robles, CA
0.05,27,2284,Hinchtown Hammer Down,American Blonde Ale,16,16,16,Flat 12 Bierwerks,Indianapolis, IN
0.06,104,1610,Half Cycle IPA,American IPA,16,16,16,Flat 12 Bierwerks,Indianapolis, IN
0.071,60,608,Snake Dog IPA,American IPA,521,12,521,Flying Dog Brewery,Frederick, MD
0.047,28,607,Underdog Atlantic Lager,American Pale Lager,521,12,521,Flying Dog Brewery,Frederick, MD
0.07,70,2566,Flying Mouse 4,American IPA,50,12,50,Flying Mouse Brewery,Troutville, VA
0.05,18,2111,What the Butler Saw,Witbier,217,12,217,Forgotten Boardwalk,Cherry Hill, NJ
0.069,65,2110,1916 Shore Shiver,American IPA,217,12,217,Forgotten Boardwalk,Cherry Hill, NJ
0.074,97,318,Vortex IPA,American IPA,206,16,206,Fort George Brewery,Astoria, OR
0.047,19,2661,Park,American Pale Wheat Ale,4,12,4,Fort Point Beer Company,San Francisco, CA
0.056,16,2660,Westfalia,American Amber / Red Ale,4,12,4,Fort Point Beer Company,San Francisco, CA
0.046,17,2659,KSA,Kölsch,4,12,4,Fort Point Beer Company,San Francisco, CA
0.063,42,2658,Villager,American IPA,4,12,4,Fort Point Beer Company,San Francisco, CA
0.085,50,2625,Dirty Bastard,Scotch Ale / Wee Heavy,15,12,15,Founders Brewing Company,Grand Rapids, MI
0.072,65,1565,Centennial IPA,American IPA,15,12,15,Founders Brewing Company,Grand Rapids, MI
0.047,42,1223,All Day IPA,American IPA,15,12,15,Founders Brewing Company,Grand Rapids, MI
0.076,73,1874,El Chingon IPA,American IPA,287,12,287,Four Corners Brewing Company,Dallas, TX
0.057,40,1873,Block Party Robust Porter,American Porter,287,12,287,Four Corners Brewing Company,Dallas, TX
0.052,20,1872,Local Buzz,American Blonde Ale,287,12,287,Four Corners Brewing Company,Dallas, TX
0.064,90,2610,The Gadget,American IPA,22,16,22,Four Fathers Brewing ,Valparaiso, IN
0.052,17,2309,Sunbru Kölsch,Kölsch,160,12,160,Four Peaks Brewing Company,Tempe, AZ
0.042,9,1585,Four Peaks Peach Ale,Fruit / Vegetable Beer,160,12,160,Four Peaks Brewing Company,Tempe, AZ
0.067,47,358,Hop Knot IPA,American IPA,160,12,160,Four Peaks Brewing Company,Tempe, AZ
0.06,21,179,Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,160,12,160,Four Peaks Brewing Company,Tempe, AZ
0.05,28,2427,Suncaster Summer Wheat,American Pale Wheat Ale,105,12,105,Four String Brewing Company,Columbus, OH
0.057,36,2425,Brass Knuckle Pale Ale,American Pale Ale (APA),105,12,105,Four String Brewing Company,Columbus, OH
0.07,70,2424,Big Star White IPA,American White IPA,105,12,105,Four String Brewing Company,Columbus, OH
0.069,69,1556,Batch 69 IPA,American IPA,253,12,253,Frankenmuth Brewery,Frankenmuth, MI
0.055,18,1208,Twisted Helles Summer Lager,Munich Helles Lager,253,12,253,Frankenmuth Brewery,Frankenmuth, MI
0.065,33,2526,Texicali ,American Brown Ale,66,12,66,Freetail Brewing Company,San Antonio, TX
0.042,20,2524,Bat Outta Helles,Munich Helles Lager,66,12,66,Freetail Brewing Company,San Antonio, TX
0.042,10,2522,Rye Wit,Witbier,66,12,66,Freetail Brewing Company,San Antonio, TX
0.059,70,2521,Soul Doubt,American IPA,66,12,66,Freetail Brewing Company,San Antonio, TX
0.044,5,2520,Yo Soy Un Berliner,Berliner Weissbier,66,12,66,Freetail Brewing Company,San Antonio, TX
0.065,35,901,Harvest Ale,Saison / Farmhouse Ale,460,12,460,Fremont Brewing Company,Seattle, WA
0.065,45,875,Fremont Summer Ale,American Pale Ale (APA),460,12,460,Fremont Brewing Company,Seattle, WA
0.056,30,858,Universale Pale Ale,American Pale Ale (APA),460,12,460,Fremont Brewing Company,Seattle, WA
0.065,80,857,Interurban IPA,American IPA,460,12,460,Fremont Brewing Company,Seattle, WA
0.053,32,1300,Gateway Kolsch Style Ale,Kölsch,433,12,433,French Broad Brewery,Asheville, NC
0.07,24,1260,Wee-Heavy-Er Scotch Ale,Scotch Ale / Wee Heavy,433,12,433,French Broad Brewery,Asheville, NC
0.052,42,1259,13 Rebels ESB,Extra Special / Strong Bitter (ESB),433,12,433,French Broad Brewery,Asheville, NC
0.07,73,2254,Salamander Slam,American IPA,180,16,180,Frog Level Brewing Company,Waynesville, NC
0.072,50,2077,No Wake IPA,American IPA,228,12,228,Geneva Lake Brewing Company,Lake Geneva, WI
0.049,15,2076,Boathouse Blonde,American Blonde Ale,228,12,228,Geneva Lake Brewing Company,Lake Geneva, WI
0.05,26,2075,Cedar Point,American Amber / Red Ale,228,12,228,Geneva Lake Brewing Company,Lake Geneva, WI
0.067,70,2426,Clean Shave IPA,American IPA,106,12,106,Glabrous Brewing Company,Pineland, ME
0.072,75,2045,Might As Well IPL,American Pale Lager,240,16,240,Golden Road Brewing,Los Angeles, CA
0.058,35,1960,Saison Pamplemousse,Saison / Farmhouse Ale,240,12,240,Golden Road Brewing,Los Angeles, CA
0.074,74,1777,2020 IPA,American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.08,70,1698,Wolf Among Weeds IPA,American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.094,92,1641,Better Weather IPA,American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.059,60,1490,Point the Way IPA,American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.046,15,1489,Golden Road Hefeweizen,Hefeweizen,240,16,240,Golden Road Brewing,Los Angeles, CA
0.068,65,1399,Heal the Bay IPA,American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.059,60,1296,Point the Way IPA,American IPA,240,12,240,Golden Road Brewing,Los Angeles, CA
0.055,20,991,Get Up Offa That Brown,American Brown Ale,240,16,240,Golden Road Brewing,Los Angeles, CA
0.08,70,750,Burning Bush Smoked IPA,American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.08,70,749,Wolf Among Weeds IPA (2012),American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.059,60,549,Point the Way IPA (2012),American IPA,240,16,240,Golden Road Brewing,Los Angeles, CA
0.046,15,548,Golden Road Hefeweizen (2012),Hefeweizen,240,16,240,Golden Road Brewing,Los Angeles, CA
0.07,11,2587,Vanilla Porter,American Porter,39,16,39,Gonzo's BiggDogg Brewing,Kalamazoo, MI
0.07,70,1109,Descender IPA,American IPA,464,12,464,Good Life Brewing Company,Bend, OR
0.06,18,1108,Sweet As Pacific Ale,American Pale Wheat Ale,464,12,464,Good Life Brewing Company,Bend, OR
0.056,36,1000,Good People Pale Ale,American Pale Ale (APA),478,12,478,Good People Brewing Company,Birmingham, AL
0.093,103,312,Snake Handler Double IPA,American Double / Imperial IPA,478,12,478,Good People Brewing Company,Birmingham, AL
0.06,54,311,Coffee Oatmeal Stout,Oatmeal Stout,478,12,478,Good People Brewing Company,Birmingham, AL
0.06,64,309,Good People IPA,American IPA,478,12,478,Good People Brewing Company,Birmingham, AL
0.058,36,308,Good People American Brown Ale,American Brown Ale,478,12,478,Good People Brewing Company,Birmingham, AL
0.055,40,2205,Mountain Rescue Pale Ale,American Pale Ale (APA),194,12,194,Goodlife Brewing Co.,Bend, OR
0.059,55,2198,Goose Island India Pale Ale,American IPA,196,12,196,Goose Island Brewery Company,Chicago, IL
0.054,30,2457,312 Urban Pale Ale,American Pale Ale (APA),88,16,88,Goose Island Brewing Company,Chicago, IL
0.054,30,2202,312 Urban Pale Ale,American Pale Ale (APA),88,12,88,Goose Island Brewing Company,Chicago, IL
0.042,18,2201,312 Urban Wheat Ale,American Pale Wheat Ale,88,16,88,Goose Island Brewing Company,Chicago, IL
0.042,18,1829,312 Urban Wheat Ale,American Pale Wheat Ale,88,12,88,Goose Island Brewing Company,Chicago, IL
0.042,20,581,312 Urban Wheat Ale (2012),American Pale Wheat Ale,88,12,88,Goose Island Brewing Company,Chicago, IL
0.052,19,1383,Beaver Logger,American Pale Lager,420,12,420,Gore Range Brewery,Edwards, CO
0.043,21,2129,Monarch Classic American Wheat,American Pale Wheat Ale,213,12,213,Grapevine Craft Brewery,Farmers Branch, TX
0.049,21,2127,Sir William's English Brown Ale,English Brown Ale,213,12,213,Grapevine Craft Brewery,Farmers Branch, TX
0.055,35,2126,Lakefire Rye Pale Ale,American Pale Ale (APA),213,12,213,Grapevine Craft Brewery,Farmers Branch, TX
0.053,22,2303,Beer Agent Re-Ignition,American Blonde Ale,165,16,165,Great Crescent Brewery,Aurora, IN
0.057,18,1990,Cherry Ale,Fruit / Vegetable Beer,165,16,165,Great Crescent Brewery,Aurora, IN
0.056,33,1702,Bourbon Barrel Aged Coconut Porter,American Porter,165,16,165,Great Crescent Brewery,Aurora, IN
0.062,60,1701,Great Crescent IPA,American IPA,165,16,165,Great Crescent Brewery,Aurora, IN
0.057,27,1700,Aurora Lager,Dortmunder / Export Lager,165,16,165,Great Crescent Brewery,Aurora, IN
0.053,22,1699,Great Crescent Blonde Ale,American Blonde Ale,165,16,165,Great Crescent Brewery,Aurora, IN
0.056,33,1269,Great Crescent Coconut Porter,American Porter,165,16,165,Great Crescent Brewery,Aurora, IN
0.057,25,930,Great Crescent Oktoberfest Lager,Märzen / Oktoberfest,165,16,165,Great Crescent Brewery,Aurora, IN
0.045,36,649,Great Crescent Brown Ale,American Brown Ale,165,16,165,Great Crescent Brewery,Aurora, IN
0.057,18,639,Cherry Ale (1),Fruit / Vegetable Beer,165,16,165,Great Crescent Brewery,Aurora, IN
0.057,27,626,Aurora Lager (2011),Dortmunder / Export Lager,165,16,165,Great Crescent Brewery,Aurora, IN
0.06,25,615,Frosted Fields Winter Wheat,American Dark Wheat Ale,165,16,165,Great Crescent Brewery,Aurora, IN
0.051,13,478,Great Crescent Belgian Style Wit,Witbier,165,16,165,Great Crescent Brewery,Aurora, IN
0.075,65,455,Bourbon's Barrel Stout,American Stout,165,16,165,Great Crescent Brewery,Aurora, IN
0.08,66,442,Great Crescent Stout,English Stout,165,16,165,Great Crescent Brewery,Aurora, IN
0.056,33,441,Great Crescent Coconut Porter (2012),American Porter,165,16,165,Great Crescent Brewery,Aurora, IN
0.057,23,440,Great Crescent Dark Lager,Euro Dark Lager,165,16,165,Great Crescent Brewery,Aurora, IN
0.042,26,439,Great Crescent Mild Ale,English Dark Mild Ale,165,16,165,Great Crescent Brewery,Aurora, IN
0.062,60,436,Great Crescent IPA (2011),American IPA,165,16,165,Great Crescent Brewery,Aurora, IN
0.053,22,389,Great Crescent Blonde Ale (2011),American Blonde Ale,165,16,165,Great Crescent Brewery,Aurora, IN
0.095,75,2644,Yeti  Imperial Stout,Russian Imperial Stout,6,12,6,Great Divide Brewing Company,Denver, CO
0.045,15,404,Black Star Double Hopped Golden Lager (24 oz.),American Pale Lager,543,24,543,Great Northern Brewing Company,Whitefish, MT
0.045,15,164,Black Star Double Hopped Golden Lager (12 oz.),American Pale Lager,543,12,543,Great Northern Brewing Company,Whitefish, MT
0.052,49,1923,Commotion APA,American Pale Ale (APA),269,12,269,Great Raft Brewing Company,Shreveport, LA
0.05,5,1604,Chickawawa Lemonale,Fruit / Vegetable Beer,365,12,365,Great River Brewery,Davenport, IA
0.07,22,1574,Barrel Aged Farmer,American Brown Ale,365,16,365,Great River Brewery,Davenport, IA
0.048,20,1244,Dos Pistolas,Vienna Lager,365,12,365,Great River Brewery,Davenport, IA
0.05,30,1064,Owney Irish Style Red Ale,Irish Red Ale,365,16,365,Great River Brewery,Davenport, IA
0.055,10,865,Widespread Wit,Witbier,365,16,365,Great River Brewery,Davenport, IA
0.054,30,864,Roller Dam Red Ale,Irish Red Ale,365,16,365,Great River Brewery,Davenport, IA
0.053,48,863,483 Pale Ale,American Pale Ale (APA),365,16,365,Great River Brewery,Davenport, IA
0.09,99,672,Hop A Potamus Double Dark Rye Pale Ale,Rye Beer,365,16,365,Great River Brewery,Davenport, IA
0.07,22,655,Farmer Brown Ale,American Brown Ale,365,16,365,Great River Brewery,Davenport, IA
0.07,70,540,Big Cock IPA,American IPA,365,16,365,Great River Brewery,Davenport, IA
0.059,25,539,Oktoberfest,Märzen / Oktoberfest,365,16,365,Great River Brewery,Davenport, IA
0.048,25,517,40th Annual Bix Street Fest Copper Ale (Current),American Amber / Red Ale,365,16,365,Great River Brewery,Davenport, IA
0.06,36,371,Redband Stout,American Stout,365,16,365,Great River Brewery,Davenport, IA
0.053,48,190,483 Pale Ale (2010),American Pale Ale (APA),365,16,365,Great River Brewery,Davenport, IA
0.054,30,189,Roller Dam Red Ale (2010),Irish Red Ale,365,16,365,Great River Brewery,Davenport, IA
0.05,30,1106,Pablo Beach Pale Ale,American Pale Ale (APA),466,12,466,Green Room Brewing,Jacksonville, FL
0.057,44,2314,Wild Trail Pale Ale,American Pale Ale (APA),156,12,156,Greenbrier Valley Brewing Company,Lewisburg, WV
0.067,71,2313,Mothman Black IPA,American Black Ale,156,12,156,Greenbrier Valley Brewing Company,Lewisburg, WV
0.085,69,2044,Captain's Daughter,American Double / Imperial IPA,86,12,86,Grey Sail Brewing Company,Westerly, RI
0.06,54,1505,Flying Jenny Extra Pale Ale,American Pale Ale (APA),379,12,379,Grey Sail Brewing of Rhode Island,Westerly, RI
0.04,20,1186,Hazy Day Belgian-Style Wit,Witbier,379,16,379,Grey Sail Brewing of Rhode Island,Westerly, RI
0.06,34,984,Leaning Chimney Smoked Porter,American Porter,379,16,379,Grey Sail Brewing of Rhode Island,Westerly, RI
0.06,54,693,Flying Jenny Extra Pale Ale (2012),American Pale Ale (APA),379,12,379,Grey Sail Brewing of Rhode Island,Westerly, RI
0.049,22,631,Flagship Ale,Cream Ale,379,12,379,Grey Sail Brewing of Rhode Island,Westerly, RI
0.045,6,2375,Mr. Blue Sky,American Pale Wheat Ale,124,16,124,Griffin Claw Brewing Company,Birmingham, MI
0.05,25,2142,Screamin’ Pumpkin,Pumpkin Ale,124,16,124,Griffin Claw Brewing Company,Birmingham, MI
0.05,35,2141,Grand Trunk Bohemian Pils,Czech Pilsener,124,16,124,Griffin Claw Brewing Company,Birmingham, MI
0.065,25,2140,El Rojo,American Amber / Red Ale,124,16,124,Griffin Claw Brewing Company,Birmingham, MI
0.05,35,2138,Grind Line,American Pale Ale (APA),124,16,124,Griffin Claw Brewing Company,Birmingham, MI
0.04,55,2007,Norm's Gateway IPA,American IPA,124,12,124,Griffin Claw Brewing Company,Birmingham, MI
0.063,43,2339,Little Red Cap,Altbier,144,12,144,Grimm Brothers Brewhouse,Loveland, CO
0.069,67,1857,Supergoose IPA,American IPA,290,12,290,Hale's Ales,Seattle, WA
0.07,40,2026,Pursuit,American IPA,248,12,248,Half Full Brewery,Stamford, CT
0.052,18,1361,Half Full Bright Ale,American Blonde Ale,248,12,248,Half Full Brewery,Stamford, CT
0.046,17,1016,Orange Wheat,Fruit / Vegetable Beer,476,12,476,Hangar 24 Craft Brewery,Redlands, CA
0.043,14,1015,Hangar 24 Helles Lager,Munich Helles Lager,476,12,476,Hangar 24 Craft Brewery,Redlands, CA
0.075,70,1677,The Great Return,American IPA,343,16,343,Hardywood Park Craft Brewery,Richmond, VA
0.044,18,1331,Hardywood Cream Ale,Cream Ale,343,12,343,Hardywood Park Craft Brewery,Richmond, VA
0.056,55,1270,Capital Trail Pale Ale,American Pale Ale (APA),343,12,343,Hardywood Park Craft Brewery,Richmond, VA
0.052,15,2059,UFO Gingerland,Herbed / Spiced Beer,234,12,234,Harpoon Brewery,Boston, MA
0.062,45,1653,The Long Thaw White IPA,American White IPA,234,12,234,Harpoon Brewery,Boston, MA
0.05,28,1380,Harpoon Summer Beer,Kölsch,234,12,234,Harpoon Brewery,Boston, MA
0.059,42,1379,Harpoon IPA,American IPA,234,12,234,Harpoon Brewery,Boston, MA
0.059,20,1340,UFO Pumpkin,Pumpkin Ale,234,12,234,Harpoon Brewery,Boston, MA
