abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.05,20,2188,Lost Meridian Wit,Witbier,116,12,116,Base Camp Brewing Co.,Portland, OR
0.051,45,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12,116,Base Camp Brewing Co.,Portland, OR
0.054,55,1966,Wagon Party,California Common / Steam Beer,258,12,258,Bauhaus Brew Labs,Minneapolis, MN
0.067,70,1965,Sky-Five,American IPA,258,12,258,Bauhaus Brew Labs,Minneapolis, MN
0.05,28,1964,Stargrazer,Schwarzbier,258,12,258,Bauhaus Brew Labs,Minneapolis, MN
0.054,48,1963,Wonderstuff,German Pilsener,258,12,258,Bauhaus Brew Labs,Minneapolis, MN
0.07,42,1778,On the Count of 3 (2015),Hefeweizen,292,16,292,Baxter Brewing Company,Lewiston, ME
0.055,35,533,Amber Road,American Amber / Red Ale,292,12,292,Baxter Brewing Company,Lewiston, ME
0.049,28,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12,292,Baxter Brewing Company,Lewiston, ME
0.069,69,182,Stowaway IPA,American IPA,292,12,292,Baxter Brewing Company,Lewiston, ME
0.088,108,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16,306,Beach Brewing Company,Virginia Beach, VA
0.05,10,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12,103,Beer Works Brewery,Lowell, MA
0.058,45,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12,103,Beer Works Brewery,Lowell, MA
0.068,85,2420,Back Bay IPA,American IPA,103,12,103,Beer Works Brewery,Lowell, MA
0.048,16,2419,Bunker Hill Blueberry Ale ,Other,103,12,103,Beer Works Brewery,Lowell, MA
0.044,44,2558,Moar,English India Pale Ale (IPA),53,12,53,Bent Brewstillery,Roseville, MN
0.057,27,2556,Nordic Blonde,American Blonde Ale,53,12,53,Bent Brewstillery,Roseville, MN
0.072,87,2410,Harness the Winter,American IPA,75,12,75,Bent Paddle Brewing Company,Duluth, MN
0.056,32,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12,75,Bent Paddle Brewing Company,Duluth, MN
0.062,68,1901,Bent Hop Golden IPA,American IPA,75,12,75,Bent Paddle Brewing Company,Duluth, MN
0.06,34,1261,Bent Paddle Black Ale,American Black Ale,75,12,75,Bent Paddle Brewing Company,Duluth, MN
0.05,38,1253,Venture Pils,German Pilsener,75,12,75,Bent Paddle Brewing Company,Duluth, MN
0.055,40,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12,278,Berkshire Brewing Company,South Deerfield, MA
0.053,20,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12,278,Berkshire Brewing Company,South Deerfield, MA
0.081,17,2104,Aprè Shred,American Strong Ale,220,16,220,Big Choice Brewing,Broomfield, CO
0.095,104,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12,220,Big Choice Brewing,Broomfield, CO
0.067,85,1067,Disconnected Red,American Amber / Red Ale,220,16,220,Big Choice Brewing,Broomfield, CO
0.08,54,2639,Dark Star,American Stout,8,16,8,Big Lake Brewing,Holland, MI
0.075,60,2585,Galaxy IPA,American IPA,40,16,40,Big Muddy Brewing,Murphysboro, IL
0.05,32,643,Big River Pilsner,Czech Pilsener,519,12,519,Big River Brewing Company,Chattanooga, TN
0.06,55,632,House Brand IPA,American IPA,519,12,519,Big River Brewing Company,Chattanooga, TN
0.062,65,1714,Big Sky IPA,American IPA,336,12,336,Big Sky Brewing Company,Missoula, MT
0.05,40,1713,Scape Goat Pale Ale,English Pale Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.05,35,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.051,26,1711,Moose Drool Brown Ale,American Brown Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.072,60,1456,Powder Hound Winter Ale,English Strong Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.051,26,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.05,35,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.062,65,579,Big Sky IPA (2012),American IPA,336,12,336,Big Sky Brewing Company,Missoula, MT
0.05,40,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.05,35,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.051,26,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12,336,Big Sky Brewing Company,Missoula, MT
0.069,81,2096,Arcus IPA,American IPA,221,12,221,Big Storm Brewing Company,Odessa, FL
0.058,38,2095,Wavemaker,American Amber / Red Ale,221,12,221,Big Storm Brewing Company,Odessa, FL
0.053,43,1257,Jack Pine Savage,American Pale Ale (APA),444,16,444,Big Wood Brewery,Vadnais Heights, MN
0.099,85,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16,444,Big Wood Brewery,Vadnais Heights, MN
0.098,76,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16,444,Big Wood Brewery,Vadnais Heights, MN
0.055,35,986,Morning Wood,Oatmeal Stout,444,16,444,Big Wood Brewery,Vadnais Heights, MN
0.066,50,985,Bark Bite IPA,American IPA,444,16,444,Big Wood Brewery,Vadnais Heights, MN
0.055,45,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16,70,Birdsong Brewing Company,Charlotte, NC
0.072,75,2620,Saucy Intruder,Rye Beer,18,16,18,Black Acre Brewing Co.,Indianapolis, IN
0.045,16,2412,Deception,American Blonde Ale,112,12,112,Black Market Brewing Company,Temecula, CA
